Row(HOUR=0, LONG=-73.97550825930198, LAT=40.74349021155748)
Row(HOUR=1, LONG=-73.98021802857023, LAT=40.741440747049054)
Row(HOUR=2, LONG=-73.98115368241587, LAT=40.74095466790349)
Row(HOUR=3, LONG=-73.98191805908215, LAT=40.74167935065989)
Row(HOUR=4, LONG=-73.97841004847693, LAT=40.744556256486)
Row(HOUR=5, LONG=-73.97286729718597, LAT=40.747904898342284)
Row(HOUR=6, LONG=-73.96973795670485, LAT=40.75119403906787)
Row(HOUR=7, LONG=-73.97130455443202, LAT=40.75416647329407)
Row(HOUR=8, LONG=-73.97349554451, LAT=40.75416380433437)
Row(HOUR=9, LONG=-73.97482796618276, LAT=40.754095207766966)
Row(HOUR=10, LONG=-73.97374247794062, LAT=40.754525098968)
Row(HOUR=11, LONG=-73.97433940422623, LAT=40.754347885371615)
Row(HOUR=12, LONG=-73.97467037977918, LAT=40.75431313437171)
Row(HOUR=13, LONG=-73.97437354853174, LAT=40.753737668371684)
Row(HOUR=14, LONG=-73.97316694645447, LAT=40.75350488848471)
Row(HOUR=15, LONG=-73.97150667780387, LAT=40.753406188940524)
Row(HOUR=16, LONG=-73.9699175030336, LAT=40.75301426805925)
Row(HOUR=17, LONG=-73.97157537285166, LAT=40.753315175691576)
Row(HOUR=18, LONG=-73.97393908234926, LAT=40.75278032367752)
Row(HOUR=19, LONG=-73.97524716176103, LAT=40.751297485187116)
Row(HOUR=20, LONG=-73.97612768365026, LAT=40.74965335499371)
Row(HOUR=21, LONG=-73.97492981033368, LAT=40.74874905337766)
Row(HOUR=22, LONG=-73.97503918019353, LAT=40.747734313961594)
Row(HOUR=23, LONG=-73.97409959295362, LAT=40.74569061474161)
Elapsed Time using csv: 278.69 seconds!
