Andorra,55526,Friday (feat. Mufasa;Hypeman) - Dopamine Re-Edit,251
Argentina,35851,Dance Monkey,253
Australia,35851,Dance Monkey,217
Austria,131808,Roses - Imanbek Remix,233
Belgium,131808,Roses - Imanbek Remix,207
Bolivia,92280,Lost on You,239
Brazil,35851,Dance Monkey,252
Bulgaria,12491,Arcade,231
Canada,131808,Roses - Imanbek Remix,287
Chile,67656,Hookah;Sheridan s,256
Colombia,35851,Dance Monkey,253
Costa Rica,157341,Toast,251
Czech Republic,141605,Slunko,229
Denmark,131808,Roses - Imanbek Remix,198
Dominican Republic,42550,Dream Girl - Remix,223
Ecuador,35851,Dance Monkey,248
Egypt,143230,Someone You Loved,282
El Salvador,35851,Dance Monkey,217
Estonia,70018,I Got Love,338
Finland,120735,Penelope (feat. Clever),214
France,26355,Calma - Remix,189
Germany,131808,Roses - Imanbek Remix,225
Greece,143230,Someone You Loved,211
Greece,36928,De Me Theloun,211
Guatemala,35851,Dance Monkey,242
Honduras,108941,Ni Gucci Ni Prada,225
Hong Kong,191782,夜に駆ける,343
Hungary,131808,Roses - Imanbek Remix,265
Iceland,64545,Heat Waves,226
India,178233,ily (i love you baby) (feat. Emilee),154
Indonesia,70406,I Love You but I'm Letting Go,319
Ireland,50796,Fairytale of New York (feat. Kirsty MacColl),231
Israel,35851,Dance Monkey,223
Italy,85993,La musica non c'è,222
Japan,191782,夜に駆ける,374
Latvia,131808,Roses - Imanbek Remix,226
Lithuania,164633,Vasarą galvoj minoras,284
Luxembourg,131808,Roses - Imanbek Remix,202
Malaysia,143230,Someone You Loved,268
Mexico,92280,Lost on You,371
Morocco,178496,love nwantiti (feat. ElGrande Toto) - North African Remix,243
Netherlands,131808,Roses - Imanbek Remix,196
New Zealand,131808,Roses - Imanbek Remix,196
Nicaragua,148644,Sweet Night,393
Norway,50796,Fairytale of New York (feat. Kirsty MacColl),214
Panama,148644,Sweet Night,595
Paraguay,35851,Dance Monkey,228
Peru,35851,Dance Monkey,232
Philippines,134814,Sana,361
Poland,73326,Impreza,168
Portugal,126488,Quando a vontade bater (Participação especial de PK Delas),298
Romania,131808,Roses - Imanbek Remix,196
Russia,13154,Astronaut In The Ocean,136
Saudi Arabia,148644,Sweet Night,319
Singapore,191782,夜に駆ける,259
Slovakia,131808,Roses - Imanbek Remix,252
South Africa,175518,You're the One,256
South Korea,113570,OHAYO MY NIGHT,148
Spain,35851,Dance Monkey,215
Sweden,77278,Jerusalema (feat. Nomcebo Zikode),276
Switzerland,131808,Roses - Imanbek Remix,211
Taiwan,1231,"\"想見你想見你想見你(電視劇\"\"想見你\"\"片尾曲)\"",245
Thailand,177538,comethru,302
Turkey,137312,Seni Dert Etmeler,346
Ukraine,179389,toxin,159
United Arab Emirates,143230,Someone You Loved,269
United Kingdom,50796,Fairytale of New York (feat. Kirsty MacColl),250
United States,13154,Astronaut In The Ocean,204
Uruguay,35851,Dance Monkey,240
Vietnam,177538,comethru,290
Vietnam,88616,Let Me Down Slowly,290
